test,pred
can you go fetch,fetch
can you sit for me,sit
come and eat,eat
come and lay down,lay
come here jack,fetch
come on eat up,eat
come on sit down,sit
dont sit there,fetch
eat sit,eat
fetch it quickly,fetch
go fetch the ball,sit
hows my jack,jack
jack can you hear me,jack
jack come here,jack
jack lay down,jack
lay down on the mat,lay
lay down over here,eat
lay down right now,lay
now eat your food,eat
now fetch the ball,fetch
now go fetch,fetch
now you can eat,eat
now you can sit,jack
sit over here,sit
thats a good boy jack,fetch
you can eat now,sit
you can lay down now,lay
